,cpu,cpu_point
294,AMD Ryzen 5 1600,12319
295,Intel Core i5-10400 @ 2.90GHz,12307
296,Intel Core i7-11375H @ 3.30GHz,12236
297,Intel Core i7-10750H @ 2.60GHz,12233
298,Intel Core i3-1210U,12130
299,Intel Core i7-10850H @ 2.70GHz,12111
300,Intel Core i7-8700B @ 3.20GHz,12078
301,AMD Ryzen 3 PRO 5475U,12074
302,AMD Ryzen 5 PRO 4500U,12049
303,Intel Core i5-1245UE,11991
304,Intel Core i7-11370H @ 3.30GHz,11937
305,AMD Ryzen 3 5400U,11812
306,Snapdragon 8cx Gen 3 @ 3.0 GHz,11671
307,AMD Ryzen 3 3100,11650
308,Intel Core i5-10500H @ 2.50GHz,11614
309,Intel Core i3-1215U,11603
310,Intel Core i7-1250U,11563
311,Intel Core i7-9850H @ 2.60GHz,11417
312,Intel Core i3-11100B @ 3.60GHz,11357
313,Intel Core i7-6850K @ 3.60GHz,11350
314,AMD Ryzen 3 4100,11336
315,AMD Ryzen 3 PRO 4200G,11315
316,AMD Ryzen 3 4300GE,11314
317,Intel Core i5-10500E @ 3.10GHz,11268
318,Intel Core i5-10600T @ 2.40GHz,11210
319,Intel Core i7-9750HF @ 2.60GHz,11159
320,Intel Core i7-9750H @ 2.60GHz,11140
321,AMD Ryzen 3 PRO 5450U,11082
322,AMD Ryzen 3 PRO 4350GE,11082
323,AMD Ryzen 5 4500U,11053
324,Intel Core i5-11300H @ 3.10GHz,11045
325,Intel Core i7-1195G7 @ 2.90GHz,10982
326,AMD Ryzen 3 PRO 4200GE,10930
327,AMD Ryzen 3 5425U,10922
328,AMD Ryzen 3 PRO 4350G,10914
329,Apple A12X Bionic,10853
330,Intel Core i5-9600KF @ 3.70GHz,10803
331,Intel Core i5-11320H @ 3.20GHz,10802
332,Intel Core i5-9600K @ 3.70GHz,10774
333,Intel Core i7-1185G7 @ 3.00GHz,10766
334,AMD Ryzen 3 4300G,10765
335,Intel Core i7-6800K @ 3.40GHz,10757
336,Intel Core i9-8950HK @ 2.90GHz,10744
337,Intel Core i7-9700TE @ 1.80GHz,10740
338,Intel Core i7-9700T @ 2.00GHz,10729
339,Intel Core i5-1230U,10583
340,Intel Core i7-11390H @ 3.40GHz,10545
341,Intel Core i7-1165G7 @ 2.80GHz,10490
342,Intel Core i5-1145G7E @ 2.60GHz,10454
343,AMD Ryzen 5 PRO 1600,10401
344,Intel Core i5-9500F @ 3.00GHz,10386
345,Intel Core i3-10325 @ 3.90GHz,10362
346,Intel Core i5-9600 @ 3.10GHz,10356
347,Intel Core i7-8700T @ 2.40GHz,10330
348,Intel Core i7-5930K @ 3.50GHz,10316
349,Intel Core i7-8850H @ 2.60GHz,10303
350,Intel Core i5-10500T @ 2.30GHz,10292
351,Intel Core i5-8600K @ 3.60GHz,10257
352,Intel Core i5-1145G7 @ 2.60GHz,10193
353,AMD Ryzen 3 PRO 4450U,10056
354,Intel Core i5-1135G7 @ 2.40GHz,10052
355,Intel Core i3-10320 @ 3.80GHz,10027
356,Intel Core i7-8750H @ 2.20GHz,10024
357,Intel Core i5-1145GRE @ 2.60GHz,10003
358,Intel Core i5-10400T @ 2.00GHz,9991
359,Intel Core i5-1155G7 @ 2.50GHz,9980
360,Intel Core i7-1185G7E @ 2.80GHz,9980
361,Intel Core i7-4960X @ 3.60GHz,9968
362,Intel Core i3-1125G4 @ 2.00GHz,9964
363,Intel Core i5-10500TE @ 2.30GHz,9960
